aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
1,Leandro Oliveira,ryannogueira@example.org,Fisioterapia,Trancado,C,Outro,28.0,1,2054,0,0,Relacionado(a),2,4,Terapia Física,Mariane da Cunha,7.7,9,Regular,Fisiologia,Mateus Moura,7.65,2,Bom,Técnicas de Imagem,Enzo Camargo,9.72,7,Regular,Reabilitação,Liam Guerra,8.59,8,Regular,Anatomia,Sr. Dom Peixoto,6.96,15,Ruim,0
2,Alexandre Montenegro,lpeixoto@example.com,Música,Matriculado,A,Outro,36.0,0,5932,1,1,Solteiro(a),1,2,História da Música,Olivia Pinto,7.27,5,Bom,Arranjo Musical,Matheus Vieira,4.43,3,Ruim,Teoria Musical,Renan Pastor,1.15,3,Ruim,Prática Instrumental,Pietro Pastor,8.59,15,Ruim,Composição Musical,Sr. Bruno Sousa,5.21,7,Regular,0
3,Sra. Joana Peixoto,ocasa-grande@example.org,Engenharia Mecânica,Trancado,A,Feminino,3.0,0,6720,0,1,Solteiro(a),2,2,Desenho Técnico,Srta. Julia Marques,9.52,2,Excelente,Mecânica dos Fluidos,Lucas Montenegro,3.06,3,Ruim,Termodinâmica,Murilo Viana,9.93,12,Ruim,Resistência dos Materiais,Bento Lopes,8.11,6,Regular,Sistemas Mecânicos,Heitor Cavalcanti,3.7,11,Ruim,0
4,Sra. Agatha da Rosa,mcasa-grande@example.org,Fisioterapia,Formado,C,Masculino,19.0,1,4564,0,0,Solteiro(a),2,3,Técnicas de Imagem,Lorena Silva,7.98,6,Regular,Anatomia,Miguel Aparecida,0.92,12,Ruim,Terapia Física,Sr. Rhavi Macedo,0.15,15,Ruim,Fisiologia,Eduardo Teixeira,9.09,0,Excelente,Reabilitação,Sr. Anthony Lopes,2.09,14,Ruim,0
5,Renan Macedo,tnascimento@example.com,Gestão Pública,Formado,A,Feminino,36.0,1,4968,0,0,Solteiro(a),1,3,Gestão de Pessoas,Dra. Lorena Cavalcanti,3.81,14,Ruim,Administração Pública,Maria Cecília Souza,4.21,14,Ruim,Gestão de Projetos,Maria Luísa da Rosa,0.57,14,Ruim,Finanças Públicas,Dra. Carolina Araújo,1.13,4,Ruim,Gestão de Políticas Públicas,Ana Lívia Cavalcante,3.01,14,Ruim,0
6,Sra. Julia Pinto,oliver69@example.org,Serviço Social,Trancado,A,SEMANAL,24.0,0,2993,0,1,Relacionado(a),1,3,Gestão de Pessoas,Dra. Lorena Cavalcanti,7.69,12,Ruim,Administração Pública,Maria Cecília Souza,5.7,0,Regular,Gestão de Projetos,Maria Luísa da Rosa,7.65,7,Regular,Finanças Públicas,Dra. Carolina Araújo,3.81,10,Ruim,Gestão de Políticas Públicas,Ana Lívia Cavalcante,5.86,13,Ruim,0
7,Rafael Duarte,fonsecahenry@example.org,Segurança do Trabalho,Trancado,B,Masculino,26.0,0,,1,1,Relacionado(a),2,1,História,Gustavo Henrique Rodrigues,7.34,12,Ruim,Biologia,Vicente da Rocha,8.73,0,Excelente,Geografia,Amanda Novais,6.31,9,Regular,Sociologia,João Miguel Vasconcelos,8.95,4,Bom,Economia,Maria Sophia da Mota,8.5,3,Excelente,0
8,Stephany da Mota,camposmaria-luiza@example.com,Engenharia de Produção,Formado,D,Outro,130.0,1,9341,0,1,Solteiro(a),1,4,Gestão de Processos,Isabel Aragão,0.81,13,Ruim,Gestão da Qualidade,Guilherme Ribeiro,9.98,8,Regular,Planejamento de Produção,Noah Monteiro,9.4,3,Excelente,Logística,Maria Vitória Alves,7.73,3,Bom,Gestão de Estoques,Mariane Aparecida,5.25,1,Regular,0
9,Heloísa Farias,oliver92@example.net,Estatística,Matriculado,A,Feminino,27.0,0,923,0,0,Solteiro(a),1,4,Análise de Dados,Maria Júlia Correia,6.17,14,Ruim,Estatística Aplicada,Gustavo Henrique Garcia,6.47,2,Regular,Estatística Descritiva,Danilo da Mata,0.04,13,Ruim,Probabilidade,Leonardo Ramos,0.2,4,Ruim,Métodos Estatísticos,Sophia Castro,1.07,11,Ruim,0
10,Juliana Pastor,yurida-mota@example.com,Engenharia,Formado,B,Feminino,24.0,1,4303,1,0,Solteiro(a),2,4,Física Aplicada,Igor Sá,4.54,5,Ruim,Mecânica,Rebeca Martins,9.61,1,Excelente,Cálculo,Ísis da Conceição,0.42,15,Ruim,Desenho Técnico,Vinicius Siqueira,7.96,10,Regular,Circuitos Elétricos,Dra. Luna Duarte,7.17,15,Ruim,0
11,Heitor Teixeira,renan03@example.org,Veterinária,Matriculado,B,Outro,35.0,0,2088,0,1,Relacionado(a),2,4,Física Aplicada,Igor Sá,4.97,1,Ruim,Mecânica,Rebeca Martins,0.1,7,Ruim,Cálculo,Ísis da Conceição,8.16,4,Bom,Desenho Técnico,Vinicius Siqueira,8.11,0,Excelente,Circuitos Elétricos,Dra. Luna Duarte,8.24,6,Regular,0
12,Dra. Luiza das Neves,emanuella30@example.org,Engenharia de Produção,Formado,C,Masculino,26.0,1,5412,1,0,,1,3,Logística,Eduardo Cassiano,5.79,15,Ruim,Gestão da Qualidade,Sr. Henry Gabriel Ribeiro,8.41,11,Ruim,Planejamento de Produção,Dra. Eduarda Albuquerque,4.98,10,Ruim,Gestão de Estoques,Dr. João Gabriel Araújo,7.0,5,Bom,Gestão de Processos,Luiz Otávio Ferreira,4.86,1,Ruim,0
13,Ayla Lopes,montenegrocarolina@example.net,Engenharia,Formado,B,Feminino,30.0,0,6005,1,0,Solteiro(a),1,4,Circuitos Elétricos,Benicio Ribeiro,5.6,0,Regular,Cálculo,Heloisa Pacheco,2.28,4,Ruim,Física Aplicada,Raquel Oliveira,5.45,14,Ruim,Desenho Técnico,Elisa Moraes,7.31,6,Regular,Mecânica,Liz Santos,1.61,7,Ruim,0
14,Bento da Cunha,ana-julia43@example.net,Marketing,Matriculado,A,Feminino,26.0,0,7215,1,1,Solteiro(a),2,2,Desenho Técnico,Srta. Julia Marques,9.59,7,Regular,Mecânica dos Fluidos,Lucas Montenegro,4.11,11,Ruim,Termodinâmica,Murilo Viana,2.74,11,Ruim,Resistência dos Materiais,Bento Lopes,9.61,1,Excelente,Sistemas Mecânicos,Heitor Cavalcanti,8.37,15,Ruim,0
15,Vitória Rezende,carvalholuisa@example.com,Pedagogia,Formado,C,Feminino,26.0,0,-230,0,1,Solteiro(a),2,4,Terapia Física,Mariane da Cunha,5.05,15,Ruim,Fisiologia,Mateus Moura,2.51,13,Ruim,Técnicas de Imagem,Enzo Camargo,5.15,4,Regular,Reabilitação,Liam Guerra,4.22,14,Ruim,Anatomia,Sr. Dom Peixoto,3.58,4,Ruim,0
16,Ana Júlia Farias,maria-juliateixeira@example.org,Física,Trancado,A,Feminino,28.0,1,2389,1,0,Solteiro(a),1,3,Gestão de Pessoas,Dra. Lorena Cavalcanti,6.49,6,Regular,Administração Pública,Maria Cecília Souza,5.58,15,Ruim,Gestão de Projetos,Maria Luísa da Rosa,8.09,9,Regular,Finanças Públicas,Dra. Carolina Araújo,6.26,11,Ruim,Gestão de Políticas Públicas,Ana Lívia Cavalcante,0.84,12,Ruim,0
17,NULL,da-conceicaocamila@example.net,Logística,Trancado,C,Feminino,45.0,1,4572,1,0,Relacionado(a),1,1,Logística Internacional,Pietra Montenegro,2.76,6,Ruim,Gestão de Cadeia de Suprimentos,Asafe Sampaio,7.5,3,Bom,Gestão de Transportes,Rhavi Garcia,5.67,8,Regular,Gestão de Estoques,Isabelly Aragão,1.4,7,Ruim,Transporte e Distribuição,Ana Lívia Garcia,1.46,9,Ruim,0
18,Antônio Martins,valentimgarcia@example.org,História,Trancado,D,Masculino,39.0,1,6343,1,1,Solteiro(a),1,1,História Geral,Diogo Farias,7.04,13,Ruim,Teoria Histórica,Ana Julia Correia,2.0,9,Ruim,História Contemporânea,Davi Lucca Novaes,1.12,10,Ruim,Historiografia,Sra. Evelyn Rezende,8.17,6,Regular,História do Brasil,Heloisa Moreira,7.03,5,Bom,1
19,Dr. João Lucas Araújo,kevincamara@example.com,Nutrição,Matriculado,A,Outro,26.0,0,6843,1,1,Solteiro(a),2,4,Técnicas de Cozinha,Isabella Cavalcanti,3.51,12,Ruim,Nutrição Infantil,Dr. Yuri Jesus,0.21,10,Ruim,Nutrição Esportiva,Ana Vasconcelos,3.8,9,Ruim,Nutrição Clínica,Antonella Carvalho,4.13,2,Ruim,Psicologia da Alimentação,Vitor Guerra,4.92,11,Ruim,0
20,Gabriel Vargas,silvadante@example.com,Biomedicina,Trancado,B,Outro,42.0,0,8591,0,1,Solteiro(a),2,4,Física Aplicada,Igor Sá,4.48,15,Ruim,Mecânica,Rebeca Martins,5.0,8,Regular,Cálculo,Ísis da Conceição,7.79,15,Ruim,Desenho Técnico,Vinicius Siqueira,9.6,14,Ruim,Circuitos Elétricos,Dra. Luna Duarte,8.38,0,Excelente,0
21,Dra. Ísis Fernandes,pachecobarbara@example.com,Biologia,Matriculado,D,Outro,25.0,1,5600,0,0,Solteiro(a),1,3,Botânica,Dr. Guilherme Duarte,4.57,0,Ruim,Biologia Celular,Benjamim Novais,6.95,6,Regular,Zoologia,Mathias Campos,2.41,10,Ruim,Genética,Enrico Fernandes,9.33,15,Ruim,Ecologia,Ana Clara Pereira,7.62,0,Bom,0
22,José Duarte,bfreitas@example.net,Museologia,Trancado,B,Feminino,99999.0,1,5438,1,0,clique aqui,2,3,História,Bruno Guerra,0.47,12,Ruim,Português,Beatriz Azevedo,1.09,8,Ruim,Química,Dr. Anthony Gabriel Gomes,5.02,13,Ruim,Geografia,Hellena Sales,1.56,4,Ruim,Sociologia,Hellena Aparecida,3.12,8,Ruim,0
23,Bento Almeida,davi-miguel68@example.net,Museologia,Matriculado,D,Outro,21.0,1,9341,0,1,Solteiro(a),1,4,Gestão de Processos,Isabel Aragão,6.6,2,Regular,Gestão da Qualidade,Guilherme Ribeiro,8.69,14,Ruim,Planejamento de Produção,Noah Monteiro,5.04,9,Regular,Logística,Maria Vitória Alves,8.39,1,Excelente,Gestão de Estoques,Mariane Aparecida,9.59,6,Regular,0
