aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
1,Mariana Costela,isabela28@example.org,Hotelaria,Matriculado,D,Masculino,25.0,0,8782,0,0,Relacionado(a),2,4,Gestão de Hospedagem,Theodoro Oliveira,6.56,8,Regular,Gestão de Alimentos e Bebidas,Ester Correia,4.65,9,Ruim,Gestão de Hotelaria,Paulo Casa Grande,5.66,11,Ruim,Marketing de Hotelaria,Lara Pacheco,9.89,6,Regular,Hospitalidade,Dr. Benício Farias,0.36,13,Ruim,0
2,Olívia Araújo,novaisdavi-lucas@example.org,Recursos Humanos,Trancado,C,Masculino,18.0,1,2784,0,1,Relacionado(a),2,3,Gestão de Carreira,Clara Araújo,3.53,2,Ruim,Desenvolvimento Organizacional,Brayan Aparecida,5.15,11,Ruim,Recrutamento e Seleção,Marcos Vinicius Pinto,9.06,13,Ruim,Gestão de Pessoas,Maria Luiza Lima,0.5,7,Ruim,Treinamento e Desenvolvimento,Fernanda Araújo,0.46,2,Ruim,0
3,Nina Mendes,ovieira@example.com,Marketing,Formado,A,Outro,17.0,1,7977,0,1,Solteiro(a),1,1,Gestão de Marketing,José Lima,3.68,1,Ruim,Comportamento do Consumidor,Ian Mendonça,9.0,13,Ruim,Marketing Digital,Srta. Gabrielly Cardoso,6.9,13,Ruim,Pesquisa de Mercado,Cecilia Cavalcante,4.89,5,Ruim,Publicidade,Luiz Gustavo da Cunha,6.08,6,Regular,0
4,Sra. Clarice Macedo,qvasconcelos@example.com,Matemática,Matriculado,B,Outro,18.0,0,9331,1,0,Relacionado(a),2,1,Teoria dos Números,Erick da Rocha,2.74,10,Ruim,Cálculo,Vicente Pastor,4.29,14,Ruim,Probabilidade e Estatística,Gustavo Henrique Moura,6.27,15,Ruim,Geometria,Sr. Asafe da Luz,5.16,3,Regular,Álgebra Linear,Ravy Costela,8.99,6,Regular,0
5,Otávio Câmara,araujoclarice@example.com,Zootecnia,Trancado,D,Outro,99999.0,0,1799,0,0,Solteiro(a),2,2,Medicina Veterinária,Dra. Ana Peixoto,1.46,12,Ruim,Genética Animal,Luiz Henrique Peixoto,8.19,3,Excelente,Nutrição Animal,Josué Gonçalves,9.07,9,Regular,Fisiologia Animal,Isadora Machado,3.11,11,Ruim,Produção Animal,Ágatha Aparecida,1.34,5,Ruim,0
6,Anna Liz Nascimento,limaana-julia@example.org,Geografia,Matriculado,C,Outro,39.0,0,1339,0,0,Relacionado(a),2,4,Geopolítica,Ana Carolina Nascimento,6.92,4,Regular,Geografia Física,Ana Lívia Lima,2.85,6,Ruim,Geografia Humana,Anna Liz Vieira,7.64,14,Ruim,Planejamento Urbano,Dr. Danilo Casa Grande,2.38,0,Ruim,Cartografia,Alexia Casa Grande,0.3,13,Ruim,0
7,Cauã da Rocha,umendes@example.com,Radiologia,Trancado,A,Masculino,37.0,0,9265,0,1,Solteiro(a),1,2,Matemática,Ian Carvalho,0.0,6,Ruim,Sociologia,Antônio Machado,3.76,10,Ruim,Física,Lucca Pinto,7.7,14,Ruim,Geografia,Maria Julia Novaes,2.26,15,Ruim,Química,Pietro Lima,0.5,8,Ruim,0
8,Pietra Correia,vitor-gabrielmarques@example.net,Dança,Trancado,A,Outro,35.0,0,4307,0,1,Relacionado(a),1,4,História da Dança,Maria Laura Silva,6.47,12,Ruim,Dança Contemporânea,Diogo Ramos,7.12,11,Ruim,Técnicas de Dança,Esther Cunha,4.18,15,Ruim,Gestão de Eventos de Dança,Ana Carolina Cardoso,0.61,7,Ruim,Coreografia,Heloisa Brito,10.0,7,Regular,0
9,Pedro Novais,guerrajose-pedro@example.org,Sistemas de Informação,Formado,D,Feminino,17.0,1,1120,0,0,Relacionado(a),1,1,Gestão de Projetos de TI,Ana Beatriz Rezende,9.19,3,Excelente,Banco de Dados,Raul das Neves,2.16,11,Ruim,Sistemas de Informação Empresarial,Nicolas Macedo,6.25,0,Regular,Desenvolvimento de Software,Benicio Fernandes,7.48,6,Regular,Análise de Sistemas,Sr. Gustavo Farias,7.18,6,Regular,0
10,Bianca Marques,maria-alice35@example.org,Computação,Matriculado,B,Feminno,44.0,0,4229,1,0,Solteiro(a),2,3,Algoritmos,Sra. Bianca Santos,1.0,7,Ruim,Estruturas de Dados,Isabella Alves,3.57,5,Ruim,Banco de Dados,Heitor Vargas,0.82,1,Ruim,Programação,Srta. Isabella Moura,7.84,14,Ruim,Sistemas Operacionais,Joaquim Pastor,9.34,5,Bom,0
