id;nome;data_nascimento;curso_id;turma_id;salario_medio;trabalha;cidade;estado;uso_alcool;fuma;uso_drogas;problemas_mentais;frequencia_percentual;media_notas;avaliacoes_realizadas
1;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;1997-10-29;4;15;2474.93;0.0;Porto;ES;0.0;;1.0;;50.0;3.73;3
2;Srta. Zoe Peixoto;1997-03-18;6;13;4731.11;1.0;Camargo;ES;1.0;1.0;0.0;Modi voluptatum quisquam repudiandae.;33.33;7.71;1
3;Sra. Aurora Macedo;2007-03-07;9;19;2340.42;1.0;Machado;PR;0.0;1.0;1.0;Est atque itaque quo eos inventore dicta.;16.67;6.74;2
4;Milena Rios;2001-11-24;10;20;4919.8;1.0;Marques da Mata;;0.0;1.0;1.0;;0.0;4.48;2
5;José Miguel Cassiano;1998-07-12;1;18;2883.93;1.0;Vargas de Vargas;RN;1.0;1.0;0.0;Earum reiciendis sint aliquam nesciunt officiis doloribus illo.;20.0;9.27;1
6;Jade Vieira;1995-07-21;4;20;3740.17;0.0;Andrade;CE;1.0;0.0;1.0;Esse ipsa nemo praesentium vitae quaerat laboriosam tempora.;75.0;;0
7;Luiza Barros;2001-05-16;6;20;3182.08;0.0;Peixoto do Sul;PR;0.0;0.0;1.0;Illo rem excepturi molestiae.;25.0;2.68;1
8;Dr. Oliver Ferreira;1998-04-27;2;20;2782.14;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;RJ;0.0;1.0;0.0;;25.0;1.38;1
9;Sr. Bernardo Costela;2000-02-16;1;6;3929.86;0.0;Dias da Mata;RR;1.0;0.0;0.0;Aperiam voluptatem iure est odit quaerat.;100.0;4.73;3
10;Eloá Cunha;1999-02-07;3;18;1892.12;1.0;Cavalcanti;SE;0.0;0.0;1.0;Esse perspiciatis in voluptate amet occaecati eius.;50.0;1.8;1
11;Luigi Lopes;1995-04-29;4;7;;1.0;Viana;MS;0.0;1.0;0.0;;0.0;4.46;1
12;Cecilia Casa Grande;2006-03-08;6;19;1542.37;0.0;Lopes;SE;0.0;1.0;0.0;Saepe modi nulla cum illo nemo.;;4.84;3
13;;1996-12-26;6;9;3431.48;0.0;da Costa de Mendes;MT;1.0;1.0;0.0;;66.67;7.64;1
14;Heitor da Paz;2003-02-15;10;17;4023.54;0.0;Pereira;RR;0.0;1.0;0.0;;100.0;5.42;2
15;Ana Júlia Silva;2005-04-07;2;7;4103.04;1.0;Peixoto;MT;0.0;0.0;1.0;;100.0;;0
16;Manuella Ribeiro;1996-12-07;6;7;2453.29;0.0;Azevedo do Oeste;AC;1.0;0.0;1.0;;42.86;3.73;1
17;Eduardo Caldeira;2003-09-14;2;1;4991.68;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;PI;1.0;0.0;1.0;Aliquid ratione iusto ea veniam quia aut.;40.0;;0
18;Srta. Carolina Pereira;2002-03-02;2;13;3529.96;1.0;Nogueira dos Dourados;MA;0.0;0.0;0.0;;20.0;7.15;1
19;Daniel Marques;1999-11-24;6;4;1531.78;0.0;Andrade de Sampaio;SP;0.0;1.0;0.0;;50.0;0.22;1
20;Ana Carolina Rocha;2005-05-26;2;14;2305.79;1.0;da Cunha;RN;0.0;1.0;0.0;;33.33;4.48;3
21;Lorena Vieira;1995-02-07;9;12;2821.31;1.0;Pimenta do Amparo;RS;1.0;0.0;1.0;;33.33;8.65;1
22;Maria Flor Viana;1998-08-03;6;1;2548.14;0.0;Oliveira de Farias;MS;1.0;1.0;1.0;;33.33;;0
23;Ana Carolina Teixeira;2000-06-07;3;8;1352.66;0.0;Cavalcanti de Barbosa;SP;1.0;0.0;0.0;;100.0;7.98;2
24;Asafe Campos;2004-12-30;10;3;4655.9;;Viana;ES;;1.0;1.0;;50.0;;0
25;José da Rocha;1999-09-24;9;13;0.0;0.0;Barbosa da Mata;RN;0.0;1.0;0.0;;75.0;;0
26;Helena da Conceição;2005-08-07;5;6;1333.94;1.0;Mendes do Amparo;MG;0.0;1.0;;Amet non nesciunt.;50.0;8.77;1
27;Olívia Dias;2006-04-06;6;13;2376.66;1.0;Correia;SC;0.0;0.0;0.0;;;4.58;2
28;Vinícius Vasconcelos;1995-11-27;1;17;4741.5;1.0;da Cruz de Fonseca;ES;0.0;1.0;0.0;;33.33;0.51;1
29;Maria Flor Cavalcante;2000-10-18;8;12;4495.15;1.0;Nunes;AL;0.0;0.0;1.0;Suscipit impedit officia ex iusto fuga deleniti.;66.67;3.84;1
30;Evelyn das Neves;1999-07-03;9;8;1055.31;1.0;Rios;PR;0.0;0.0;0.0;;33.33;7.68;1
31;Pietro Abreu;1997-04-01;3;6;513.85;1.0;Dias;PA;1.0;1.0;1.0;;50.0;4.88;2
32;Enzo Aparecida;1998-03-17;5;9;1835.08;0.0;Câmara do Sul;MG;0.0;1.0;0.0;;50.0;5.75;4
33;Ísis Correia;1996-09-26;8;4;4780.37;0.0;Souza da Mata;AC;1.0;0.0;0.0;;57.14;;0
34;Esther da Mota;2003-03-04;3;7;4464.6;1.0;Jesus do Sul;PE;0.0;0.0;0.0;;50.0;2.95;1
35;Luana Campos;1997-07-23;10;9;4042.7;0.0;Sales;SE;1.0;0.0;1.0;;50.0;;0
