aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
1,Levi Cirino,balbuquerque@example.net,Engenharia de Alimentos,Concluso,B,Masculino,56,0,INVALID,0,0,Viúvo(a),3,2,Gestão de Processos,Clara das Neves,2.56,10,Ruim,Microbiologia de Alimentos,Caleb Viana,4.48,8,Ruim,Higiene e Sanidade,Thomas Almeida,5.97,15,Ruim,Química de Alimentos,Lorena Melo,7.09,13,Ruim,Tecnologia de Alimentos,Fernando Souza,2.86,2,Ruim,0
2,José Miguel Nascimento,ada-luz@example.net,Odontologia,Matriculado,A,Feminino,52,1,1243,1,1,Casado(a),7,1,Clínica Odontológica,Mateus Almeida,4.59,8,Ruim,Anatomia Dental,Sr. Caio Sales,2.96,12,Ruim,Radiologia Odontológica,Kevin Cavalcante,4.25,3,Ruim,Implantes,Maria Alice da Conceição,4.69,4,Ruim,Periodontia,Ágatha Sá,6.69,14,Ruim,1
3,Alana Sá,melissa13@example.com,Química,Cancelado,A,Feminino,65,0,8947,1,0,Viúvo(a),2,2,Bioquímica,Luara Moura,1.87,15,Ruim,Físico-Química,Henry Azevedo,2.63,0,Ruim,Química Orgânica,Sr. Ryan Dias,9.82,4,Bom,Química Analítica,Luan Moraes,2.86,11,Ruim,Química Inorgânica,Caleb Aragão,6.66,3,Regular,1
4,Isadora Siqueira,cavalcantimaria-laura@example.net,Redes de Computadores,Cancelado,B,Feminino,49,0,2810,1,0,Solteiro(a),4,1,Protocolos de Comunicação,Heloisa Fogaça,8.55,6,Regular,Administração de Redes,Lucas Gabriel Pinto,4.33,14,Ruim,Segurança em Redes,Nicole Albuquerque,7.15,10,Regular,Redes de Dados,Caio Pires,2.79,6,Ruim,Arquitetura de Redes,Rodrigo Moura,0.54,13,Ruim,0
5,Sofia Cardoso,eloa27@example.net,Fonoaudiologia,Trancado,D,Feminino,44,0,1128,0,1,Divorciado(a),5,3,Reabilitação Fonoaudiológica,Isabela Araújo,2.72,14,Ruim,Fonologia,Henrique Dias,2.78,3,Ruim,Anatomia e Fisiologia,Ana Alves,2.77,1,Ruim,Audiologia,Maria Cecília Pires,8.99,14,Ruim,Psicologia do Desenvolvimento,Valentina da Paz,4.29,9,Ruim,1
6,Lorena Câmara,ana-laurada-cruz@example.net,Fonoaudiologia,Cancelado,C,Masculino,22,0,19329320423234,1,1,Divorciado(a),5,2,Fonologia,Mariah Jesus,2.68,3,Ruim,Psicologia do Desenvolvimento,Dr. Vitor Caldeira,5.98,5,Regular,Anatomia e Fisiologia,Samuel Costela,0.33,10,Ruim,Audiologia,Dra. Júlia Viana,1.9,14,Ruim,Reabilitação Fonoaudiológica,Alice Pimenta,1.04,1,Ruim,1
7,Isabela Cassiano,rezendeguilherme@example.org,Jornalismo,Matriculado,B,Masculino,19,0,2012,0,0,Viúvo(a),7,1,Comunicação e Mídia,Mirella Moura,9.66,13,Ruim,Edição de Vídeo,Dr. Bruno Pimenta,4.21,3,Ruim,Produção de Conteúdo,Cauã Lima,8.59,10,Regular,Redação Jornalística,Sr. Davi Lucca Santos,9.8,3,Excelente,Ética Jornalística,Maria Eduarda Mendonça,9.02,2,Excelente,0
8,Davi Lucca Lima,ucasa-grande@example.com,Ciências Sociais,Matriculado,D,Feminino,62,1,4299,0,1,Solteiro(a),2,4,Sociologia Geral,Amanda Macedo,7.28,3,Bom,Psicologia Social,Luísa da Mota,1.59,13,Ruim,Movimentos Sociais,Caleb Nogueira,3.8,11,Ruim,Antropologia,Dr. Arthur Gabriel Oliveira,3.74,9,Ruim,Teoria Social,Ana Clara Silveira,2.16,8,Ruim,1
9,Henry Gabriel Rios,daniel72@example.com,Zootecnia,Matriculado,B,Outro,69,0,3408,0,1,Divorciado(a),2,2,Medicina Veterinária,Sr. Thales Viana,2.72,10,Ruim,Genética Animal,Marcos Vinicius das Neves,7.82,11,Ruim,Nutrição Animal,Alexandre Abreu,9.38,10,Regular,Produção Animal,Bárbara Costa,0.17,7,Ruim,Fisiologia Animal,Rebeca Lopes,9.84,2,Excelente,1
10,Dr. Vinícius Dias,nina79@example.org,Enfermagem,Trancado,C,Feminino,33,1,8828,0,0,Solteiro(a),6,4,Enfermagem Geral,Bernardo da Cunha,2.91,4,Ruim,Psicologia da Saúde,Yago Guerra,0.44,3,Ruim,Cuidado Intensivo,Anna Liz Duarte,8.52,8,Regular,Anatomia e Fisiologia,Bárbara Caldeira,1.64,11,Ruim,Saúde Pública,Valentim Costa,2.21,1,Ruim,0
11,Maria Clara da Paz,hadassa06@example.net,WEWEO,Cancelado,D,Feminino,70,0,8062,1,1,Solteiro(a),4,2,Transporte e Distribuição,Dra. Luara Monteiro,7.87,8,Regular,Gestão de Cadeia de Suprimentos,Giovanna Vasconcelos,1.44,8,Ruim,Gestão de Transportes,Srta. Marina Dias,3.42,9,Ruim,Logística Internacional,Enzo Gabriel da Mata,4.97,12,Ruim,Gestão de Estoques,Paulo Moraes,8.28,6,Regular,1
12,Anthony Gabriel Vieira,lavinia92@example.com,Engenharia Química,Cancelado,A,Feminino,49,1,5658,0,1,Solteiro(a),2,2,Bioquímica,Luara Moura,0.85,4,Ruim,Físico-Química,Henry Azevedo,3.75,7,Ruim,Química Orgânica,Sr. Ryan Dias,2.7,6,Ruim,Química Analítica,Luan Moraes,9.31,2,Excelente,Química Inorgânica,Caleb Aragão,0.76,7,Ruim,1
